first_name,last_name,student_id,ofcl,rule_id,rule_name,courses_1,courses_2,courses_3,courses_4,courses_5,courses_6,courses_7
,,750345,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X_WAITLIST,SBS43X,SWS21X_WAITLIST,,,,
,,750345,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SPS43X_WAITLIST,SPS21X_WAITLIST,,,,
,,525852,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,525852,,135,2 AP Courses,ZQAPPHYSICAL,MSS21X,,,,,
,,525852,,138,AP MATH,MCS21X,,,,,,
,,525852,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,525852,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SCS43X,SCS43X,,,,
,,923142,,133,AP English (must rank AP English in other section),EES87X5,EES87XGP,EES87X3,,,,
,,923142,,135,2 AP Courses,ZQAPENG,HVS11XG,,,,,
,,923142,,138,AP MATH,ZZ,,,,,,
,,923142,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,923142,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,740144,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,740144,,134,1 AP Course,ZQAPMAMI_WAITLIST,,,,,,
,,740144,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,740144,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X_WAITLIST,ZZNOAPBIO,ZZNOAPBIO,,,,
,,740144,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,326815,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,326815,,134,1 AP Course,FFS87X_WAITLIST,,,,,,
,,326815,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,326815,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X_WAITLIST,ZZNOAPBIO,ZZNOAPBIO,,,,
,,326815,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,500885,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,500885,,135,2 AP Courses,FMS87X_WAITLIST,ZQAPPHYSICAL,,,,,
,,500885,,138,AP MATH,MCS21X,,,,,,
,,500885,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,500885,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X_WAITLIST,SPS43X_WAITLIST,ZZNOAPPHY,,,,
,,460266,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,460266,,135,2 AP Courses,FFS87X_WAITLIST,HQS21XAA,,,,,
,,460266,,138,AP MATH,ZZ,,,,,,
,,460266,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X_WAITLIST,ZZNOAPBIO,ZZNOAPBIO,,,,
,,460266,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,401104,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,401104,,135,2 AP Courses,ZQAPPHYSICAL,ZQAPHEHV,,,,,
,,401104,,138,AP MATH,ZZ,,,,,,
,,401104,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,401104,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X,SPS43X_WAITLIST,ZZNOAPPHY,,,,
,,505772,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,505772,,135,2 AP Courses,ZQAPBIO,HES21X_WAITLIST,,,,,
,,505772,,138,AP MATH,MCS21X,,,,,,
,,505772,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,SQS21X_WAITLIST,SBS43X_WAITLIST,,,,
,,505772,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X,SPS21X,SPS21X,,,,
,,242676,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,242676,,135,2 AP Courses,ZQAPHEHV,ZZ,,,,,
,,242676,,138,AP MATH,MCS21X,,,,,,
,,242676,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,242676,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,638918,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,ZZNOAPENG,ZZNOAPENG,,,,
,,638918,,134,1 AP Course,HVS11XG_WAITLIST,,,,,,
,,638918,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,638918,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,ZZNOAPBIO,ZZNOAPBIO,,,,
,,638918,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X_WAITLIST,SCS43X_WAITLIST,ZZNOAPPHY,,,,
,,780275,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,780275,,135,2 AP Courses,ZQAPBIO,ZZ,,,,,
,,780275,,138,AP MATH,ZZ,,,,,,
,,780275,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,SBS43X,SBS43X,,,,
,,780275,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,976035,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,EES87X5_WAITLIST,EES87XGP_WAITLIST,,,,
,,976035,,134,1 AP Course,HES21X_WAITLIST,,,,,,
,,976035,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,976035,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X_WAITLIST,SBS43X_WAITLIST,SWS21X_WAITLIST,,,,
,,976035,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X_WAITLIST,SPS21X_WAITLIST,SPS43X_WAITLIST,,,,
,,191373,,133,AP English (must rank AP English in other section),EES87XGP,EES87X3,EES87X5,,,,
,,191373,,135,2 AP Courses,ZQAPENG,HVS11XG,,,,,
,,191373,,138,AP MATH,MSS21X,,,,,,
,,191373,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,191373,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,564063,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,564063,,135,2 AP Courses,MCS43X,ZQAPBIO,,,,,
,,564063,,138,AP MATH,ZZ,,,,,,
,,564063,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,564063,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,569171,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,569171,,134,1 AP Course,ZZ,,,,,,
,,569171,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,569171,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,569171,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,506539,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,506539,,136,3 AP Courses,ZQAPHEHV,ZQAPBIO,MCS43X,,,,
,,506539,,138,AP MATH,ZZ,,,,,,
,,506539,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,506539,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,769602,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,EES87XGP_WAITLIST,EES87X5_WAITLIST,,,,
,,769602,,134,1 AP Course,ZQAPBIO,,,,,,
,,769602,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,769602,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SWS21X_WAITLIST,SQS21X_WAITLIST,ZZNOAPBIO,,,,
,,769602,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,672148,,133,AP English (must rank AP English in other section),EES87XGP,EES87X5,EES87X3,,,,
,,672148,,136,3 AP Courses,MCS43X,FMS87X,ZQAPBIO,,,,
,,672148,,138,AP MATH,MCS21X,,,,,,
,,672148,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,SQS21X,ZZNOAPBIO,,,,
,,672148,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,249949,,133,AP English (must rank AP English in other section),EES87XGP,EES87XGP,EES87X5,,,,
,,249949,,135,2 AP Courses,ZQAPMAMI,ZQAPENG,,,,,
,,249949,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,249949,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,249949,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,894429,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,894429,,135,2 AP Courses,ZQAPPHYSICAL,HVS11XG,,,,,
,,894429,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,894429,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,894429,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SCS43X,SCS43X,,,,
,,920490,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,EES87X5_WAITLIST,EES87XGP_WAITLIST,,,,
,,920490,,134,1 AP Course,AWS21X,,,,,,
,,920490,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,920490,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SWS21X_WAITLIST,SBS43X_WAITLIST,SQS21X_WAITLIST,,,,
,,920490,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,278426,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,278426,,136,3 AP Courses,MCS43X_WAITLIST,ZQAPBIO,FSS87X,,,,
,,278426,,138,AP MATH,MCS21X,,,,,,
,,278426,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,278426,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,890731,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,890731,,134,1 AP Course,ZQAPBIO,,,,,,
,,890731,,138,AP MATH,MCS21X,,,,,,
,,890731,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,SQS21X_WAITLIST,ZZNOAPBIO,,,,
,,890731,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,348716,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,348716,,134,1 AP Course,ZZ,,,,,,
,,348716,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,348716,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,348716,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,286379,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,286379,,134,1 AP Course,ZQAPMAMI_WAITLIST,,,,,,
,,286379,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,286379,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,286379,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,,,,,
,,555911,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,555911,,134,1 AP Course,ZQAPPHYSICAL,,,,,,
,,555911,,138,AP MATH,MCS21X,,,,,,
,,555911,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,555911,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X_WAITLIST,SPS43X_WAITLIST,SCS43X_WAITLIST,,,,
,,340617,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,340617,,135,2 AP Courses,FMS87X_WAITLIST,ZZ,,,,,
,,340617,,138,AP MATH,ZZ,,,,,,
,,340617,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,340617,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,594683,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,594683,,136,3 AP Courses,MCS43X,ZQAPBIO,FMS87X,,,,
,,594683,,138,AP MATH,MCS21X,,,,,,
,,594683,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,SQS21X,ZZNOAPBIO,,,,
,,594683,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,677012,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,677012,,134,1 AP Course,MCS43X_WAITLIST,,,,,,
,,677012,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,677012,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,677012,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,142548,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,142548,,135,2 AP Courses,ZQAPBIO,FSS87X_WAITLIST,,,,,
,,142548,,138,AP MATH,MCS21X,,,,,,
,,142548,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,SQS21X_WAITLIST,ZZNOAPBIO,,,,
,,142548,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,328739,,123,4 AP Courses,MCS43X,ZQAPPHYSICAL,ZQAPHEHV,ZQAPENG,,,
,,328739,,133,AP English (must rank AP English in other section),EES87XGP,EES87X5,EES87X3,,,,
,,328739,,138,AP MATH,MSS21X,,,,,,
,,328739,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,328739,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS43X,SPS21X,ZZNOAPPHY,,,,
,,944781,,133,AP English (must rank AP English in other section),EES87X5_WAITLIST,EES87X3_WAITLIST,EES87XGP_WAITLIST,,,,
,,944781,,135,2 AP Courses,ZQAPMAMI_WAITLIST,FFS87X_WAITLIST,,,,,
,,944781,,138,AP MATH,MCS21X,,,,,,
,,944781,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,SWS21X_WAITLIST,SQS21X_WAITLIST,,,,
,,944781,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SPS21X_WAITLIST,SPS43X_WAITLIST,,,,
,,340056,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,340056,,135,2 AP Courses,MCS43X_WAITLIST,MCS21X,,,,,
,,340056,,138,AP MATH,MSS21X,,,,,,
,,340056,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,340056,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SPS21X,ZZNOAPPHY,,,,
,,576967,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,576967,,134,1 AP Course,MCS43X_WAITLIST,,,,,,
,,576967,,138,AP MATH,MCS21X,,,,,,
,,576967,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SWS21X_WAITLIST,SBS43X_WAITLIST,SQS21X_WAITLIST,,,,
,,576967,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS43X_WAITLIST,SCS43X_WAITLIST,SPS21X_WAITLIST,,,,
,,997704,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,997704,,135,2 AP Courses,MCS43X_WAITLIST,ZQAPPHYSICAL,,,,,
,,997704,,138,AP MATH,MCS21X,,,,,,
,,997704,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X,SQS21X,,,,,
,,997704,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SPS43X_WAITLIST,SPS21X_WAITLIST,,,,
,,164304,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,164304,,135,2 AP Courses,ZQAPHEHV,ZQAPPHYSICAL,,,,,
,,164304,,138,AP MATH,MCS21X,,,,,,
,,164304,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,164304,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X,SPS43X_WAITLIST,SCS43X,,,,
,,836155,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,836155,,134,1 AP Course,ZQAPBIO,,,,,,
,,836155,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,836155,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,SWS21X_WAITLIST,SQS21X_WAITLIST,,,,
,,836155,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,101576,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,101576,,136,3 AP Courses,MCS43X,ZQAPBIO,ZQAPHEHV,,,,
,,101576,,138,AP MATH,MCS21X,,,,,,
,,101576,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,101576,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SCS43X,SCS43X_WAITLIST,,,,
,,506465,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,506465,,135,2 AP Courses,MCS43X,ZQAPMAMI_WAITLIST,,,,,
,,506465,,138,AP MATH,MSS21X,,,,,,
,,506465,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,506465,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,323656,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,EES87X5_WAITLIST,EES87XGP_WAITLIST,,,,
,,323656,,135,2 AP Courses,MCS21X,ZQAPPHYSICAL,,,,,
,,323656,,138,AP MATH,MCS21X,,,,,,
