StudentID,LastName,FirstName,BirthDate,OffClass,Grade,Level,EthnicCode,HomeLang,MealCode,Attempted,Earned,English/ENL Avg,Social Studies Avg,Mathematics Avg,Science Avg,Foreign Language Avg,Arts Avg,Overall Avg
589073,,,,,,,,,,36.5,36.5,90.68,90.63,88.69,93.01,78.87,95.73,91.60
523524,,,,,,,,,,28.08,27.58,99.19,88.99,100.00,92.77,86.17,95.30,95.74
747790,,,,,,,,,,11.5,10.5,92.85,94.87,90.28,100.00,86.47,0.00,79.41
150110,,,,,,,,,,10.5,10.5,97.89,92.56,100.00,98.99,90.91,95.61,97.99
299858,,,,,,,,,,36.5,36.5,92.14,83.50,92.14,96.58,91.11,92.50,93.33
839713,,,,,,,,,,44.5,44.5,97.19,89.54,99.47,97.82,86.13,100.00,97.03
651368,,,,,,,,,,6.5,6.5,94.61,90.91,96.38,95.76,81.20,0.00,78.48
508686,,,,,,,,,,29.5,29.5,88.18,93.19,95.44,91.29,79.24,95.73,92.51
766476,,,,,,,,,,39.5,39.5,93.03,82.57,97.95,98.14,88.60,92.69,94.16
984998,,,,,,,,,,11.5,11.5,85.41,89.62,95.27,100.00,90.87,97.94,95.18
459228,,,,,,,,,,11.5,11.5,88.18,81.88,97.46,99.20,84.08,100.00,93.80
507055,,,,,,,,,,27,27,88.21,80.92,95.95,97.29,87.74,96.11,93.04
400245,,,,,,,,,,26.5,26.5,96.23,82.99,99.44,98.15,91.18,98.31,96.38
251765,,,,,,,,,,10.5,10.5,89.72,92.24,89.35,92.96,98.33,0.00,79.10
813821,,,,,,,,,,36.5,36.5,85.50,88.94,92.06,97.62,89.94,92.87,93.16
954704,,,,,,,,,,6.5,6.5,92.87,92.16,87.45,96.70,92.30,0.00,78.91
237559,,,,,,,,,,6.5,6.5,100.00,91.80,90.33,92.51,88.04,100.00,95.78
993386,,,,,,,,,,39.5,39.5,92.42,89.32,91.40,95.43,91.32,97.37,94.88
802057,,,,,,,,,,11.5,11.5,91.53,87.65,95.96,96.68,85.51,92.36,93.61
890968,,,,,,,,,,10.5,10.5,93.62,85.60,94.77,86.76,89.20,98.79,93.46
945561,,,,,,,,,,39.5,39.5,94.86,90.04,100.00,91.50,92.69,97.08,96.36
765057,,,,,,,,,,14.5,14.5,93.14,89.28,90.46,95.06,90.43,0.00,78.39
916328,,,,,,,,,,38.5,38.5,88.26,86.63,96.54,94.33,91.98,100.00,94.96
305468,,,,,,,,,,6.5,6.5,99.55,84.48,96.43,91.63,87.04,97.48,94.77
106969,,,,,,,,,,8.5,8.5,87.94,81.52,95.74,98.96,86.86,0.00,77.17
374479,,,,,,,,,,31.5,31.5,98.77,92.97,93.01,98.52,89.07,97.27,96.94
551727,,,,,,,,,,10.5,10.5,92.13,84.53,97.65,94.01,96.67,0.00,79.50
921180,,,,,,,,,,22.5,22.5,93.33,88.76,87.00,100.00,83.90,99.11,94.02
140106,,,,,,,,,,11.5,11.5,92.36,89.63,96.67,96.45,87.37,98.72,95.53
610426,,,,,,,,,,6.5,6.5,89.29,82.38,96.19,94.90,95.83,0.00,78.43
357371,,,,,,,,,,19.5,18.5,94.75,98.96,91.76,94.59,93.67,96.51,97.04
842639,,,,,,,,,,36.5,36.5,93.61,98.57,100.00,100.00,89.83,96.78,98.47
598452,,,,,,,,,,12.5,12.5,90.74,81.51,100.00,95.14,84.68,92.65,92.79
753191,,,,,,,,,,38.66,38.66,97.99,88.03,93.10,98.38,92.92,96.63,96.51
439037,,,,,,,,,,22.5,22.5,92.87,91.55,100.00,93.81,85.08,97.74,95.51
461317,,,,,,,,,,38.5,38.5,86.63,91.23,98.08,93.44,91.68,91.71,94.13
408550,,,,,,,,,,41.5,41.5,86.06,89.28,100.00,88.14,84.77,95.56,92.63
217349,,,,,,,,,,10.5,10.5,94.67,90.57,84.21,95.78,89.77,0.00,77.83
822790,,,,,,,,,,36.5,36.5,93.21,93.64,98.98,90.69,84.14,98.26,95.16
617134,,,,,,,,,,26.5,26.5,92.40,100.00,94.67,90.81,88.50,92.36,95.12
501038,,,,,,,,,,12.5,12.5,91.59,90.88,94.59,97.51,96.89,100.00,97.24
140779,,,,,,,,,,33.5,33.5,89.31,94.88,98.52,92.86,90.56,96.65,95.80
694189,,,,,,,,,,10.5,10.5,89.41,87.05,94.96,91.57,89.26,0.00,77.37
447851,,,,,,,,,,12.5,12.5,93.18,95.30,95.67,96.21,88.94,0.00,80.22
302737,,,,,,,,,,12.5,12.5,93.14,88.76,94.00,93.92,80.30,99.14,93.54
398468,,,,,,,,,,24.5,24.5,99.01,88.59,93.77,100.00,89.09,97.41,96.65
240231,,,,,,,,,,7.5,7.5,94.89,85.54,94.19,95.03,88.65,0.00,78.38
846803,,,,,,,,,,12.5,12.5,93.70,95.49,97.62,94.05,88.86,91.58,95.55
136870,,,,,,,,,,30.5,30.5,90.01,90.93,87.78,100.00,88.14,95.28,94.02
564739,,,,,,,,,,10.5,10.5,93.14,90.25,96.74,88.74,90.98,0.00,78.64
732414,,,,,,,,,,7.5,7.5,82.78,91.92,92.09,93.52,85.71,95.36,92.23
210265,,,,,,,,,,38.5,38.5,95.20,92.99,91.68,94.55,86.58,96.25,94.88
463965,,,,,,,,,,30.5,30.5,93.04,89.10,90.00,86.74,88.38,91.87,91.86
598940,,,,,,,,,,33.5,33.5,96.79,86.77,97.00,89.23,83.11,94.84,93.29
176233,,,,,,,,,,12.5,12.5,97.07,88.08,97.37,86.03,93.01,93.24,94.47
364907,,,,,,,,,,10.5,10.5,97.47,94.08,96.32,91.81,89.92,97.24,96.47
620906,,,,,,,,,,8.5,8.5,94.20,93.93,93.17,96.21,92.33,95.57,96.23
731667,,,,,,,,,,14.5,14.5,90.26,83.52,95.95,97.62,96.37,0.00,79.29
352498,,,,,,,,,,12.5,12.5,100.00,90.59,100.00,96.00,90.54,0.00,81.52
902142,,,,,,,,,,13.5,13.5,96.31,88.82,100.00,91.36,86.89,90.34,94.29
132367,,,,,,,,,,26.5,26.5,93.44,90.73,97.78,97.85,83.47,92.20,94.58
147358,,,,,,,,,,10.5,10.5,83.59,86.16,93.38,95.79,89.47,98.91,93.22
835305,,,,,,,,,,13.5,13.5,90.64,83.45,99.02,93.15,93.70,97.29,94.88
546297,,,,,,,,,,34.5,34.5,86.39,92.74,99.68,93.00,84.30,96.12,94.04
998154,,,,,,,,,,15.5,15.5,91.07,85.93,92.18,90.50,90.95,94.05,92.78
663584,,,,,,,,,,24.5,24.5,88.16,91.55,86.91,89.93,89.97,94.40,92.15
440483,,,,,,,,,,28.5,28.5,78.97,95.39,94.09,89.42,84.18,93.04,91.18
631738,,,,,,,,,,26.5,26.5,91.02,91.54,97.79,85.03,89.31,95.53,93.70
902300,,,,,,,,,,23,23,93.10,95.77,95.22,95.64,88.53,100.00,96.71
555327,,,,,,,,,,14.5,14.5,96.90,88.60,100.00,100.00,86.37,92.03,95.98
190200,,,,,,,,,,38.5,38.5,93.17,89.50,93.52,88.04,89.74,100.00,94.33
488249,,,,,,,,,,26.5,26.5,98.78,87.54,87.57,96.67,83.44,95.33,93.56
507292,,,,,,,,,,27.5,27.5,89.47,90.42,91.80,89.62,87.52,98.42,93.21
228058,,,,,,,,,,39.5,39.5,89.58,91.55,94.73,96.81,90.07,94.59,94.89
386518,,,,,,,,,,41.5,41.5,85.31,95.33,97.84,91.99,85.68,97.08,94.21
247559,,,,,,,,,,33.5,33.5,90.94,90.93,91.30,93.96,92.28,90.66,93.68
193829,,,,,,,,,,10.5,10.5,94.78,93.20,98.87,93.37,91.09,97.02,96.72
921850,,,,,,,,,,7.5,7.5,98.79,94.38,90.09,89.19,89.39,0.00,78.97
693067,,,,,,,,,,28.5,28.5,86.95,86.36,92.57,96.42,87.95,93.65,92.65
839967,,,,,,,,,,14.5,14.5,91.28,96.76,93.46,92.12,91.12,94.40,95.19
753229,,,,,,,,,,12.5,11.5,88.73,84.45,98.27,97.57,87.66,97.87,94.42
583101,,,,,,,,,,12.5,12.5,89.25,89.83,96.70,93.23,88.36,0.00,78.23
619532,,,,,,,,,,23.5,23.5,90.27,90.50,98.52,98.08,90.79,95.85,96.00
478341,,,,,,,,,,12.5,12.5,93.71,91.61,99.82,98.06,92.34,0.00,81.26
254323,,,,,,,,,,22.5,20,96.93,91.94,93.63,91.41,96.98,90.35,95.54
990048,,,,,,,,,,14.5,14.5,92.04,92.50,89.42,93.88,86.55,0.00,77.73
805368,,,,,,,,,,36.5,34.5,89.63,100.00,94.46,88.74,91.51,95.64,95.33
487658,,,,,,,,,,23.5,23.5,96.70,99.32,92.47,95.52,91.34,98.18,97.59
792163,,,,,,,,,,11.5,11.5,87.40,98.67,100.00,85.65,89.13,99.15,95.33
134642,,,,,,,,,,10.5,10.5,93.94,94.43,96.47,87.89,89.38,95.28,94.90
768951,,,,,,,,,,24.5,24.5,91.07,87.11,94.64,94.97,88.14,96.97,94.15
227472,,,,,,,,,,19.5,19.5,100.00,94.76,94.47,96.60,92.21,98.63,98.11
347109,,,,,,,,,,6.5,6.5,93.79,89.03,90.31,90.66,89.56,99.09,94.07
288020,,,,,,,,,,44.5,44.5,85.66,88.97,97.64,100.00,86.91,95.02,94.36
297262,,,,,,,,,,28,28,95.17,85.41,96.28,92.24,90.46,96.03,94.60
331388,,,,,,,,,,10.5,10.5,97.77,99.75,100.00,96.84,91.42,97.05,99.14
618917,,,,,,,,,,14.5,14.5,93.96,94.01,99.47,89.60,93.05,0.00,80.35
667412,,,,,,,,,,40.5,40.5,91.24,96.79,86.05,90.53,91.28,97.09,94.16
874218,,,,,,,,,,10.5,10.5,91.44,88.88,93.84,99.82,84.88,95.90,94.46
571109,,,,,,,,,,12.5,12.5,90.99,99.76,91.55,94.08,87.34,0.00,79.29
842669,,,,,,,,,,26.5,26.5,93.90,91.22,92.14,97.85,87.90,95.60,95.10
147770,,,,,,,,,,41.5,41.5,92.98,91.58,91.56,88.91,93.06,93.11,93.87
354754,,,,,,,,,,29.5,29.5,83.33,99.47,90.29,96.06,85.57,98.46,94.20
893126,,,,,,,,,,41,41,91.57,91.09,96.69,95.85,93.95,93.95,95.85
133019,,,,,,,,,,33.5,33.5,93.53,86.66,94.35,95.35,88.82,99.02,94.95
292868,,,,,,,,,,23.5,23.5,95.51,89.51,89.33,98.81,89.19,90.70,94.17
279242,,,,,,,,,,22.5,22.5,98.47,91.56,89.61,92.11,89.69,100.00,95.57
407783,,,,,,,,,,15.5,15.5,96.85,94.22,88.47,98.53,87.77,97.41,95.87
976071,,,,,,,,,,43.5,43.5,100.00,89.44,98.71,99.10,83.97,97.09,96.72
584862,,,,,,,,,,10.5,10.5,90.65,86.89,95.71,100.00,84.07,0.00,78.22
226412,,,,,,,,,,35.5,35.5,94.71,89.30,87.12,96.60,96.73,96.42,95.48
865179,,,,,,,,,,6.5,6.5,91.01,85.08,96.59,97.25,92.75,0.00,79.11
952716,,,,,,,,,,42.5,42.5,84.65,90.06,90.46,84.52,97.67,100.00,93.23
515705,,,,,,,,,,39.5,39.5,89.80,85.68,91.13,91.91,88.37,95.14,92.34
637390,,,,,,,,,,31,31,94.76,92.65,97.03,90.68,89.01,94.76,95.15
404253,,,,,,,,,,32.5,32.5,83.74,98.23,98.90,96.94,88.84,97.46,96.02
600749,,,,,,,,,,25.5,25.5,98.39,87.64,95.79,96.08,94.97,90.82,95.95
500585,,,,,,,,,,10.5,10.5,95.66,88.92,96.20,94.95,93.98,98.28,96.67
295701,,,,,,,,,,34.5,34.5,99.70,94.00,92.72,93.22,90.11,94.91,96.11
212506,,,,,,,,,,39.5,39.5,100.00,89.51,97.73,87.70,99.24,98.40,97.43
253500,,,,,,,,,,40,40,90.96,83.20,100.00,93.75,77.95,98.17,92.67
939512,,,,,,,,,,10.5,10.5,87.52,82.29,98.47,99.73,99.17,96.82,96.00
163951,,,,,,,,,,43.5,43.5,95.53,86.29,97.44,89.33,87.63,94.83,93.84
612868,,,,,,,,,,12.5,12.5,96.70,95.60,90.45,93.12,88.49,93.74,95.02
977982,,,,,,,,,,12.5,12.5,90.83,89.59,95.28,94.43,86.51,97.31,94.32
402383,,,,,,,,,,22.5,22.5,99.92,93.42,93.18,97.06,86.43,96.41,96.41
266215,,,,,,,,,,22.5,22.5,89.88,85.90,94.51,93.89,87.73,90.31,92.37
108945,,,,,,,,,,33.5,33.5,95.11,84.86,92.84,92.62,86.93,100.00,94.06
451231,,,,,,,,,,40.5,40.5,86.64,82.85,91.66,92.58,94.45,95.30,92.58
827084,,,,,,,,,,24.5,24.5,89.82,84.63,92.47,100.00,91.24,95.03,94.20
954004,,,,,,,,,,42.5,42.5,87.11,88.37,92.44,93.47,84.49,95.78,92.28
185887,,,,,,,,,,24.5,24.5,85.57,87.56,91.19,100.00,85.04,94.70,92.67
395167,,,,,,,,,,35.5,35.5,91.19,87.34,96.48,88.33,91.77,100.00,94.52
198420,,,,,,,,,,25.5,25.5,91.65,94.91,99.61,90.17,85.98,92.36,94.45
695908,,,,,,,,,,26.5,26.5,95.51,85.23,95.95,94.13,89.90,93.33,94.34
168834,,,,,,,,,,22.5,22.5,96.01,87.25,100.00,94.57,90.86,99.22,96.65
131493,,,,,,,,,,27.5,27.5,92.95,88.25,88.78,91.70,92.83,95.22,93.62
337290,,,,,,,,,,42.5,42.5,87.30,82.96,98.82,100.00,90.55,91.91,93.92
431357,,,,,,,,,,37.5,37.5,95.85,91.97,96.14,92.54,86.64,96.13,95.21
505051,,,,,,,,,,30.5,30.5,89.20,87.66,95.78,99.63,87.60,90.56,93.74
453399,,,,,,,,,,37.5,37.5,90.15,86.41,88.07,99.20,92.59,92.64,93.51
161221,,,,,,,,,,39.5,39.5,91.75,88.68,94.87,89.15,89.96,92.96,93.23
159449,,,,,,,,,,10.5,10.5,96.25,93.80,97.89,90.43,88.80,0.00,79.86
913659,,,,,,,,,,24.5,24.5,91.28,91.05,97.55,94.57,95.11,98.45,96.67
664594,,,,,,,,,,11.5,11.5,98.96,91.63,99.51,100.00,91.33,94.79,98.04
308257,,,,,,,,,,11.5,11.5,92.30,86.13,93.00,94.92,88.38,90.30,92.84
575429,,,,,,,,,,12.5,12.5,90.49,91.70,90.84,98.15,83.00,92.91,93.18
389264,,,,,,,,,,30.5,30.5,95.49,81.32,97.92,94.23,94.47,99.79,95.87
319900,,,,,,,,,,12.5,12.5,95.96,89.57,90.81,96.88,95.66,0.00,80.15
719331,,,,,,,,,,27.5,27.5,89.65,95.77,91.56,99.26,85.61,98.94,95.47
402007,,,,,,,,,,25.5,25.5,88.19,92.00,92.01,99.92,87.35,88.66,93.35
226223,,,,,,,,,,37.5,37.5,90.55,85.29,100.00,90.70,95.89,93.04,94.58
718797,,,,,,,,,,36.5,36.5,93.25,98.27,94.77,95.32,93.83,99.25,97.78
232028,,,,,,,,,,14.5,14.5,95.81,93.09,92.75,93.88,88.03,100.00,95.93
550906,,,,,,,,,,22.5,22.5,94.04,83.82,92.53,89.75,91.40,97.68,93.54
338009,,,,,,,,,,22.5,22.5,87.68,81.22,90.23,90.75,90.50,94.49,91.15
620272,,,,,,,,,,10.5,10.5,88.55,89.66,93.22,92.76,86.25,0.00,77.07
381799,,,,,,,,,,40.5,40.5,90.69,91.81,92.84,90.34,86.17,93.10,92.82
931108,,,,,,,,,,27.5,27.5,91.44,84.06,99.30,98.06,90.64,95.24,95.12
485728,,,,,,,,,,22.5,22.5,92.44,96.09,90.42,96.50,98.50,94.43,96.73
750338,,,,,,,,,,33.5,33.5,93.02,88.87,90.45,94.77,93.91,93.38,94.40
237671,,,,,,,,,,36.5,36.5,96.70,83.20,91.72,96.72,91.86,92.10,94.05
379286,,,,,,,,,,41,41,92.03,93.36,92.70,92.55,94.84,100.00,96.24
560765,,,,,,,,,,25.5,25.5,96.93,97.71,95.36,96.86,88.68,91.75,96.55
909560,,,,,,,,,,7.5,7.5,91.12,83.20,94.74,96.21,83.29,92.39,92.16
679617,,,,,,,,,,21.5,21.5,93.45,90.60,89.67,99.90,93.51,95.05,95.70
127387,,,,,,,,,,27.5,27.5,92.55,89.73,94.25,93.02,100.00,100.00,96.92
892443,,,,,,,,,,27.5,27.5,95.48,82.85,96.51,87.99,87.12,96.95,93.15
447998,,,,,,,,,,10.5,10.5,95.07,95.44,100.00,100.00,82.64,0.00,80.86
524570,,,,,,,,,,10.5,10.5,93.90,95.11,90.48,92.83,85.20,0.00,78.25
446207,,,,,,,,,,35.5,35.5,96.26,87.08,94.36,94.23,94.99,93.59,95.42
278587,,,,,,,,,,41.5,41.5,87.81,92.50,92.73,91.69,94.68,93.06,94.08
347847,,,,,,,,,,14.5,14.5,95.40,92.27,93.43,100.00,88.68,100.00,96.96
800956,,,,,,,,,,41.5,41.5,92.44,90.87,88.55,98.28,91.70,97.56,95.23
630980,,,,,,,,,,27.5,27.5,92.42,84.71,91.95,100.00,97.23,92.80,95.19
397321,,,,,,,,,,19.5,19.5,94.54,95.49,100.00,83.75,96.54,92.40,95.79
449033,,,,,,,,,,44.5,44.5,87.59,97.93,84.92,100.00,95.45,95.04,95.49
264822,,,,,,,,,,10.5,10.5,95.39,86.13,91.69,97.71,81.60,93.74,93.04
793468,,,,,,,,,,22.5,22.5,87.58,87.51,99.56,95.35,88.58,91.38,93.66
977181,,,,,,,,,,22.5,22.5,93.55,89.50,94.25,93.28,95.01,100.00,96.26
120132,,,,,,,,,,15.5,15.5,89.31,90.29,96.17,98.24,86.50,89.31,93.64
654399,,,,,,,,,,10.5,10.5,90.09,89.17,95.91,91.67,88.64,0.00,77.91
575906,,,,,,,,,,30,30,92.64,88.24,93.67,96.58,87.16,96.62,94.49
302931,,,,,,,,,,40.5,40.5,86.53,81.69,94.89,90.26,89.88,94.98,91.70
864289,,,,,,,,,,30.5,30.5,88.44,84.45,97.87,92.40,90.94,95.69,93.63
806455,,,,,,,,,,12.5,12.5,82.69,85.89,100.00,93.10,94.05,0.00,77.96
412773,,,,,,,,,,23,23,93.06,87.35,94.91,92.41,86.02,89.29,92.51
857287,,,,,,,,,,40.5,40.5,83.31,87.95,99.07,92.67,91.05,95.45,93.58
683485,,,,,,,,,,14.5,14.5,92.20,92.47,91.40,95.74,92.79,99.11,95.95
876444,,,,,,,,,,41.5,41.5,92.73,94.80,94.96,92.52,94.25,98.69,96.66
844400,,,,,,,,,,11.5,11.5,100.00,82.59,95.85,91.47,93.14,99.02,95.68
189306,,,,,,,,,,10.5,10.5,99.87,97.34,91.24,97.39,82.94,99.79,96.76
316331,,,,,,,,,,41.58,41.58,93.86,89.73,100.00,86.08,91.65,98.60,95.32
855144,,,,,,,,,,10.5,10.5,96.84,94.93,97.31,96.88,97.39,99.76,99.18
908156,,,,,,,,,,12.5,12.5,89.97,85.31,88.84,95.05,89.39,0.00,76.76
502418,,,,,,,,,,23.5,23.5,93.47,90.60,97.83,99.71,76.93,92.41,93.83
295568,,,,,,,,,,10.5,10.5,92.89,87.31,91.65,98.49,87.32,0.00,78.28
430611,,,,,,,,,,38.5,38.5,93.09,87.90,94.76,89.79,93.98,100.00,95.25
535638,,,,,,,,,,37.5,37.5,95.05,96.35,94.61,94.28,91.16,99.86,97.22
310300,,,,,,,,,,43.5,43.5,86.49,94.50,93.78,88.97,84.90,92.34,92.16
583661,,,,,,,,,,10.5,10.5,94.21,93.90,89.80,100.00,88.60,98.40,96.15
363395,,,,,,,,,,41.5,41.5,89.95,96.89,97.89,100.00,88.01,92.99,96.29
280315,,,,,,,,,,12.5,12.5,90.99,94.27,100.00,88.79,84.05,96.63,94.45
304090,,,,,,,,,,13.5,13.5,93.03,84.98,95.09,95.67,82.78,92.93,92.75
948559,,,,,,,,,,12.5,12.5,95.18,85.32,100.00,99.78,87.51,0.00,79.97
867799,,,,,,,,,,27.5,27.5,89.91,93.94,91.82,96.51,91.67,89.11,94.16
723985,,,,,,,,,,26.5,26.5,89.98,94.97,96.82,96.62,86.76,98.43,95.93
457952,,,,,,,,,,41.5,41.5,89.53,96.65,91.05,100.00,86.02,94.72,95.00
672804,,,,,,,,,,39.5,39.5,94.03,94.94,100.00,94.76,90.61,100.00,97.72
109238,,,,,,,,,,15.5,15.5,89.20,84.27,93.60,95.63,91.58,92.92,93.20
668030,,,,,,,,,,12.5,12.5,90.66,91.93,94.99,96.01,91.50,0.00,79.51
457966,,,,,,,,,,40.5,40.5,95.10,88.49,90.44,97.51,96.56,92.33,95.41
786012,,,,,,,,,,12.5,12.5,90.33,86.88,98.28,89.69,82.36,90.58,91.68
732838,,,,,,,,,,14.5,14.5,92.54,90.05,94.56,93.36,87.33,95.34,94.20
793996,,,,,,,,,,33.5,33.5,93.67,93.03,93.80,90.63,90.37,90.75,94.04
644649,,,,,,,,,,41.5,41.5,95.17,89.83,95.48,95.42,91.90,100.00,96.63
393532,,,,,,,,,,35.5,35.5,91.39,85.31,100.00,96.81,87.60,96.65,94.96
355399,,,,,,,,,,45.5,45.5,84.39,92.71,95.70,97.08,83.71,97.78,93.89
511036,,,,,,,,,,41.5,41.5,92.82,93.61,95.38,94.59,87.09,90.65,94.36
788172,,,,,,,,,,15.5,15.5,92.99,85.98,98.63,93.83,86.56,91.77,93.63
908654,,,,,,,,,,10.5,10.5,93.33,88.00,93.37,89.69,88.32,0.00,77.45
933877,,,,,,,,,,13.5,13.5,88.09,80.58,93.54,90.23,92.40,95.00,91.97
920736,,,,,,,,,,12.5,12.5,85.52,80.46,94.75,92.68,87.77,94.89,91.35
693660,,,,,,,,,,14.5,14.5,94.60,87.20,99.70,94.40,93.29,98.92,96.69
682069,,,,,,,,,,14.5,14.5,91.12,86.70,95.78,91.61,85.59,98.63,93.57
860316,,,,,,,,,,11.5,11.5,88.51,90.57,95.39,94.47,90.28,96.32,94.59
512368,,,,,,,,,,12.5,12.5,88.67,88.75,92.99,95.11,92.68,0.00,78.37
979636,,,,,,,,,,22.5,22.5,90.00,97.19,97.60,92.29,82.89,91.60,93.93
523153,,,,,,,,,,12.5,12.5,87.45,90.01,100.00,94.29,86.37,0.00,78.35
351236,,,,,,,,,,42.5,42.5,95.92,94.66,91.64,97.69,92.25,98.46,97.10
425259,,,,,,,,,,41.5,41.5,88.99,87.82,91.04,86.46,91.23,98.52,92.68
265065,,,,,,,,,,40.5,38.5,90.82,93.28,93.24,95.18,92.61,94.27,95.23
213567,,,,,,,,,,13.5,13.5,92.85,87.06,95.58,95.22,94.20,94.98,95.31
975252,,,,,,,,,,20.5,20.5,92.64,83.32,87.85,95.29,91.15,98.93,93.53
754327,,,,,,,,,,40.5,40.5,97.91,88.87,100.00,93.58,85.19,89.94,94.58
521178,,,,,,,,,,23.5,23.5,86.92,91.06,98.21,100.00,89.99,100.00,96.36
115435,,,,,,,,,,10.5,10.5,84.10,92.41,85.21,91.65,90.95,0.00,76.05
865679,,,,,,,,,,12.5,12.5,90.92,90.28,94.88,94.59,85.05,0.00,77.95
721629,,,,,,,,,,28.5,28.5,90.43,88.10,98.38,91.79,94.14,98.79,95.60
360078,,,,,,,,,,27.5,27.5,88.66,97.01,91.45,90.47,94.40,100.00,95.66
734960,,,,,,,,,,46.5,46.5,92.88,93.13,92.97,97.39,92.81,98.23,96.57
154510,,,,,,,,,,37.5,37.5,94.55,85.84,100.00,90.15,89.16,95.16,94.48
165465,,,,,,,,,,37.5,37.5,87.50,86.70,90.40,96.31,91.31,95.94,93.36
730210,,,,,,,,,,30.5,30.5,100.00,84.77,90.17,97.45,93.08,95.04,95.42
424725,,,,,,,,,,7.5,7.5,94.24,84.08,83.33,91.28,94.15,0.00,76.51
158601,,,,,,,,,,28.5,28.5,88.53,86.42,93.41,100.00,90.29,94.78,94.24
366154,,,,,,,,,,14.5,14.5,100.00,80.86,100.00,91.30,89.30,0.00,78.91
827060,,,,,,,,,,14.5,14.5,87.00,92.92,93.72,96.50,86.23,0.00,78.06
722283,,,,,,,,,,22.5,22.5,89.13,92.30,99.20,87.93,91.56,99.18,95.22
904249,,,,,,,,,,41.5,41.5,90.31,92.43,88.79,91.25,89.32,96.90,93.50
578671,,,,,,,,,,40.5,40.5,97.49,91.11,95.34,91.10,90.05,97.94,95.84
516961,,,,,,,,,,27,27,91.58,89.93,100.00,91.91,92.19,96.56,95.70
370449,,,,,,,,,,33.5,33.5,90.35,98.25,94.46,92.38,87.52,100.00,95.83
732467,,,,,,,,,,28.5,28.5,90.37,81.47,98.66,87.35,88.31,90.65,91.47
354391,,,,,,,,,,41.5,41.5,99.73,93.13,87.09,87.99,86.43,95.85,93.70
307181,,,,,,,,,,24.5,24.5,95.73,82.39,89.39,98.95,93.21,95.79,94.58
166865,,,,,,,,,,24.5,24.5,90.18,88.45,93.18,100.00,93.12,97.92,95.81
371917,,,,,,,,,,9.5,9.5,91.70,87.07,95.02,94.67,85.43,0.00,77.65
257258,,,,,,,,,,13.5,13.5,82.80,100.00,96.72,99.93,87.73,97.01,96.03
